Lousa	17604	17231	127.1	124.5
Alcochete	17569	18807	138.2	146.5
Montemor-o-Novo	17437	16323	14.1	13.2
Peso_da_Regua	17131	16225	180.2	171
Condeixa-a-Nova	17078	17409	123.8	125.5
Valpacos	16882	15620	30.6	28.5
Sao_Pedro_do_Sul	16851	16065	48.1	46
Castelo_de_Paiva	16733	15980	145.2	139
Ponte_de_Sor	16722	15709	19.8	18.7
Cabeceiras_de_Basto	16710	16168	69.1	66.9
Caminha	16684	16104	122.2	118
Serta	15880	15165	35.5	33.9
Batalha	15805	15842	153	153.2
Macedo_de_Cavaleiros	15776	14882	22.5	21.3
Serpa	15623	15005	14.1	13.6
Castro_Daire	15339	14552	40.3	38.4
Penacova	15251	14399	70.1	66.4
Moura	15167	14241	15.7	14.9
Nazare	15158	14422	183	175
Horta	14994	14824	86.7	85.7
Grandola	14826	14708	18	17.8
Lagoa_(Acores)	14442	14681	317.4	322
Estremoz	14318	13306	27.7	25.9
Sines	14238	13678	69.9	67.3
Cadaval	14228	13834	81.4	79.1
Valenca	14127	13554	120.4	115.7
Gouveia	14046	13114	46.6	43.6
Nelas	14037	13472	111.3	107.2
Alcanena	13868	13199	108.5	103.7
Arruda_dos_Vinhos	13391	14475	173.8	185.7
Ribeira_Brava	13375	12555	202.8	191.8
Bombarral	13193	12668	144.1	138.8
Vila_Pouca_de_Aguiar	13187	12430	30.1	28.4
Ansiao	13128	12574	74.4	71.4
Miranda_do_Corvo	13098	12861	103.8	101.8
Alcacer_do_Sal	13046	12170	8.7	8.1
Vieira_do_Minho	12997	12292	59.4	56.8
Sabugal	12544	11489	15.2	14
Mira	12465	12110	100.4	97.6
Satao	12444	11949	61.6	59.2
Sever_do_Vouga	12356	11852	94.9	91.3
Arganil	12145	11432	36.4	34.3
Tabua	12071	11726	60.4	58.7
Ponte_da_Barca	12061	11516	66.2	63.2
Alijo	11942	11093	40	37.3
Vendas_Novas	11846	11534	53.3	51.9
Obidos	11772	11612	83.2	82
Santa_Comba_Dao	11597	10905	103.1	97.4
Calheta_(Madeira)	11521	11052	102.9	99.1
Resende	11364	10592	91.9	85.9
Vila_Franca_do_Campo	11229	11300	144.1	144.9
Reguengos_de_Monsaraz	10828	10363	23.3	22.3
Sao_Bras_de_Alportel	10662	10575	69.2	69
Murtosa	10585	10407	144.6	142.4
Vouzela	10564	10037	54.3	51.8
Montalegre	10537	9541	13	11.8
Oliveira_de_Frades	10261	10060	70.6	69.2
Moimenta_da_Beira	10212	9872	46.4	44.9
Sobral_de_Monte_Agraco	10156	10230	195.2	196.3
Chamusca	10120	9639	13.5	12.9
Trancoso	9878	9345	27.3	25.8
Carregal_do_Sal	9835	9580	83.9	82
Idanha-a-Nova	9716	8712	6.8	6.2
Pinhel	9627	8983	19.8	18.5
Mortagua	9607	9184	38.2	36.6
Mogadouro	9542	8815	12.5	11.6
Aljustrel	9257	8589	20.1	18.7
Vila_Nova_de_Cerveira	9253	8969	85.4	82.7
Melgaco	9213	8558	38.6	35.9
Paredes_de_Coura	9198	8833	66.5	63.9
Vinhais	9066	8289	13	11.9
Ponta_do_Sol	8862	8619	191.3	186.5
Ferreira_do_Zezere	8619	8191	45.2	43
Torre_de_Moncorvo	8572	7975	16.1	15
Campo_Maior	8456	8214	34.2	33.2
Vila_Vicosa	8319	7987	42.6	41
Proenca-a-Nova	8314	7741	21	19.6
Ferreira_do_Alentejo	8255	7976	12.8	12.3
Tarouca	8048	7784	80.4	77.8
Penalva_do_Castelo	7956	7493	59	55.8
Sao_Joao_da_Pesqueira	7874	7370	29.5	27.7
Santana	7719	6992	79.9	73.2
Alpiarca	7702	7289	80.6	76.4
Celorico_da_Beira	7693	7246	31	29.3
Mondim_de_Basto	7493	7160	43.5	41.6
Miranda_do_Douro	7482	7138	15.4	14.7
Nisa	7450	6649	12.9	11.5
Almodovar	7449	6965	9.5	9
Arraiolos	7363	7107	10.8	10.4
Santa_Marta_de_Penaguiao	7356	6848	105.7	98.8
Macao	7338	6698	18.3	16.7
Borba	7333	7034	50.5	48.4
Vila_Nova_da_Barquinha	7322	7286	148	147.1
Vila_Nova_de_Foz_Coa	7312	6792	18.3	17.1
Alvaiazere	7287	6895	45.3	43
Vila_Nova_de_Poiares	7281	7055	86.2	83.5
Castro_Verde	7276	7145	12.8	12.5
Mertola	7274	6534	5.6	5.1
Terras_de_Bouro	7253	6655	26	24
Almeida	7242	6323	13.8	12.2
Redondo	7031	6649	19	18
Belmonte	6859	6531	57.6	55
Castro_Marim	6747	6450	22.3	21.4
Vila_Flor	6697	6242	25.1	23.5
Ribeira_de_Pena	6544	6222	30.1	28.6
Portel	6428	6104	10.7	10.2
Carrazeda_de_Ansiaes	6373	5885	22.7	21.1
Sabrosa	6361	6024	40.5	38.4
Tabuaco	6350	6138	47.5	45.9
Povoacao	6327	6132	59.3	57.6
Armamar	6297	5939	53.7	50.7
Figueira_de_Castelo_Rodrigo	6260	5918	12.3	11.6
Figueiro_dos_Vinhos	6169	5811	35.4	33.5
Madalena	6049	5958	41	40.5
Monchique	6045	5476	15.1	13.9
Penela	5983	5612	44.2	41.6
Murca	5952	5633	31.4	29.7
Vidigueira	5932	5654	18.7	17.9
Aljezur	5884	5615	18.1	17.4
Alandroal	5843	5357	10.7	9.9
Boticas	5750	5309	17.8	16.5
Viana_do_Alentejo	5743	5315	14.6	13.5
Sao_Vicente	5723	5216	71.8	66.2
Oleiros	5721	5270	12.1	11.2
Penamacor	5682	5116	10	9.1
Sernancelhe	5671	5484	24.8	24
Vila_do_Porto	5552	5652	57.5	58.3
Porto_Santo	5483	5186	127.6	120.6
Aguiar_da_Beira	5473	5040	26.4	24.4
Golega	5465	5576	71.2	66.1
Velas	5398	5244	46	44.7
Ourique	5389	4912	8.1	7.4
Vila_do_Bispo	5258	5206	29.3	29.1
Meda	5202	4802	18.1	16.8
Vila_Nova_de_Paiva	5176	4909	29.4	28
Alfandega_da_Fe	5104	4688	15.7	14.6
Sousel	5074	4674	18.1	16.7
Fornos_de_Algodres	4989	4796	37.9	36.5
Mora	4978	4484	11.1	10.1
Nordeste	4937	4977	48.9	49
Cuba	4878	4757	28.4	27.6
Lajes_do_Pico	4711	4622	30.4	29.8
Vimioso	4669	4253	9.7	8.8
Avis	4571	4387	7.6	7.2
Pampilhosa_da_Serra	4481	4143	11.3	10.4
Mesao_Frio	4433	4101	165.7	153.9
Santa_Cruz_da_Graciosa	4391	4339	72.6	71.5
Gois	4260	3985	16.1	15.1
Gaviao	4132	3645	14	12.4
Constancia	4056	3984	50.4	49.6
Sardoal	3939	3821	42.8	41.5
Pedrogao_Grande	3915	3562	30.2	27.7
Freixo_de_Espada_a_Cinta	3780	3492	15.4	14.3
Calheta_(Acores)	3773	3312	29.5	26.2
Crato	3708	3378	9.3	8.5
Alter_do_Chao	3562	3308	9.9	9.1
Vila_Velha_de_Rodao	3521	3282	10.7	9.9
Marvao	3512	3230	22.6	20.9
Vila_de_Rei	3452	3392	18.1	17.7
Manteigas	3430	3199	28.1	26.2
Fronteira	3410	3088	13.7	12.4
Castelo_de_Vide	3407	3116	12.8	11.8
Sao_Roque_do_Pico	3388	3303	23.8	23.2
Monforte	3329	3103	7.9	7.4
Castanheira_de_Pera	3191	2801	47.4	41.9
Arronches	3165	2988	10	9.5
Penedono	2952	2736	22	20.5
Alcoutim	2917	2482	5	4.3
Porto_Moniz	2711	2417	32.3	29.1
Mourao	2663	2529	9.5	9.1
Alvito	2504	2485	9.5	9.4
Santa_Cruz_das_Flores	2289	2196	32.3	31
Barrancos	1834	1717	10.8	10.2
Lajes_das_Flores	1504	1503	21.7	21.5
Corvo	430	459	24.7	26.8
